t_coast_s,forward_accel_mps2
0.011740,-0.016570
0.019978,-0.149383
0.030146,-0.645476
0.039985,-0.504851
0.051115,-0.004851
0.060042,-1.325164
0.069982,-3.422820
0.079973,-1.430633
0.091418,-0.629851
0.100092,-0.942351
0.110059,0.483430
0.119949,-0.821258
0.131109,-1.040008
0.140973,-0.934539
0.150069,-1.719695
0.159954,-0.829070
0.171086,-0.168914
0.181078,-0.360320
0.190080,-0.731414
0.199952,-0.895476
0.211041,-1.250945
0.221048,-0.942351
0.230105,-0.696258
0.239968,-0.532195
0.251091,-0.293914
0.261084,-0.645476
0.269980,-0.348601
0.279954,-0.809539
0.291254,-1.020476
0.301094,-0.532195
0.310182,-1.040008
0.320403,-0.875945
0.331212,-0.157195
0.341140,-0.973601
0.349959,-0.809539
0.360190,-0.571258
0.371116,-0.610320
0.381155,-0.731414
0.390070,-0.540008
0.400117,-0.348601
0.410754,-0.196258
0.421324,-0.821258
0.430295,-0.540008
0.440247,-0.446258
0.450760,-0.715789
0.461153,-0.504851
0.470075,-0.360320
0.480005,-0.465789
0.490768,-0.313445
0.501104,-1.153289
0.510034,-0.848601
0.519987,-0.512664
0.530753,-0.743133
0.541048,-0.801726
0.551123,-0.715789
0.560026,-0.637664
0.571058,-0.446258
0.581247,-0.981414
0.590166,-0.618133
0.600034,-0.340789
0.610833,-0.524383
0.621159,-0.559539
0.631079,-0.676726
0.639996,-0.782195
0.650889,-0.559539
0.661028,-0.598601
0.670063,-0.715789
0.680547,-0.782195
0.690815,-0.348601
0.700998,-0.809539
0.710064,-0.454070
0.720160,-0.645476
0.730951,-0.524383
0.741039,-0.485320
0.751060,-0.598601
0.759994,-0.715789
0.770830,-0.227508
0.781124,-0.399383
0.791210,-0.704070
0.799965,-0.426726
0.810895,-0.332976
0.821181,-0.418914
0.831106,-0.762664
0.840191,-0.618133
0.849357,-0.321258
0.861596,-0.579070
0.870260,-0.446258
0.880042,-0.723601
0.890887,-0.399383
0.901137,-0.829070
0.911035,-0.434539
0.920013,-0.313445
0.930798,-0.579070
0.941185,-0.801726
0.951028,-0.571258
0.960021,-0.809539
0.970862,-0.590789
0.981109,-0.407195
0.991169,-0.782195
0.999947,-0.696258
1.010978,-0.387664
1.021074,-0.790008
1.032475,-0.426726
1.040031,-0.696258
1.049424,-0.637664
1.061554,-0.274383
1.071378,-0.875945
1.080149,-0.676726
1.091013,-0.590789
1.101150,-0.676726
1.111046,-0.407195
1.120027,-0.379851
1.131005,-0.704070
1.141164,-0.836883
1.151061,-0.434539
1.159993,-1.028289
1.169531,-0.149383
1.181680,-0.473601
1.191243,-0.332976
1.199987,-0.532195
1.209364,-0.465789
1.221093,-0.809539
1.231061,-1.106414
1.240013,-0.196258
1.249429,-0.926726
1.261113,-0.262664
1.271006,-0.954070
1.279882,-0.063445
1.289708,-0.856414
1.301542,-0.485320
1.311115,-1.309539
1.320067,0.061555
1.329751,-0.610320
1.341861,0.233430
1.351071,-0.887664
1.360112,-0.770476
1.371055,0.159211
1.381144,-0.915008
1.391180,0.022492
1.399986,-0.465789
1.410020,-1.028289
1.422132,-0.176726
1.431035,-0.981414
1.439999,-0.665008
1.449868,-0.110320
1.461584,-1.489226
1.471098,-0.657195
1.480048,0.491242
1.489859,-0.551726
1.501486,-3.922820
1.511284,-1.832976
1.520162,2.502961
1.529860,-0.782195
1.541868,1.592805
1.551116,0.260774
1.559982,-1.672820
1.569833,-0.149383
1.581542,-3.211883
1.592009,1.354524
1.600302,0.932649
1.611787,-1.680633
1.621252,-0.434539
1.631045,-0.875945
1.639981,-1.817351
1.649930,-2.293914
1.661543,-0.122039
1.671141,0.866242
