t_coast_s,forward_accel_mps2
0.009990,-0.114565
0.019492,-0.102847
0.030891,-0.477847
0.039875,-0.446597
0.050218,-0.274722
0.060495,-0.505190
0.070528,-3.016909
0.079855,-0.907534
0.090278,0.842466
0.099633,-0.708315
0.110803,0.338560
0.119914,-1.309878
0.129826,-1.098940
0.139627,-0.255190
0.150773,-0.813784
0.159868,-0.313784
0.170329,-0.794253
0.179471,-0.411440
0.190812,-0.610659
0.200054,-0.794253
0.210505,-0.630190
0.219668,-0.630190
0.230838,-0.438784
0.239840,-0.743472
0.250283,-0.516909
0.259595,-0.391909
0.270861,-0.208315
0.279953,-0.630190
0.290416,-0.552065
0.299619,-0.833315
0.311014,-0.657534
0.319965,-0.907534
0.329965,-0.485659
0.339612,-0.688784
0.350892,-0.552065
0.359927,-1.005190
0.370384,-0.708315
0.379716,-0.294253
0.391183,-0.294253
0.399913,-0.774722
0.410070,-0.938784
0.419683,-0.274722
0.430637,-1.024722
0.440064,-0.458315
0.450344,-0.985659
0.459735,-0.446597
0.470869,-0.266909
0.479915,-0.485659
0.490371,-0.630190
0.499679,-0.821597
0.510916,-0.458315
0.519831,-0.399722
0.530584,-0.591128
0.539790,-0.669253
0.550756,-0.380190
0.560005,-0.743472
0.570423,-0.333315
0.579697,-0.497378
0.590991,-0.536440
0.600111,-0.477847
0.610367,-0.524722
0.619628,-0.727847
0.630806,-0.677065
0.639999,-0.602847
0.650250,-0.477847
0.659643,-0.313784
0.670759,-0.860659
0.679839,-0.200503
0.690282,-0.544253
0.699912,-0.583315
0.710865,-0.774722
0.719760,-0.622378
0.730436,-0.247378
0.739704,-0.696597
0.751672,-0.352847
0.760361,-0.708315
0.770810,-0.477847
0.779732,-1.110659
0.791453,-0.669253
0.800068,-0.622378
0.810411,-0.028628
0.819790,-1.235659
0.831636,-0.122378
0.840201,-1.024722
0.850365,0.041685
0.859839,-0.708315
0.871514,0.147153
0.880075,-0.591128
0.890318,-0.868472
0.899683,-0.016909
0.911466,-1.118472
0.920082,-0.188784
0.930370,0.069028
0.939680,-0.927065
0.951533,-0.134097
0.960047,-0.438784
0.970290,-1.337222
0.979762,-0.016909
0.991642,-0.458315
1.000051,-1.864565
1.010058,-3.091128
1.019677,1.197935
1.031586,-1.989565
1.040088,0.740903
1.050447,0.662778
1.059645,-1.606753
1.071548,-2.036440
1.079964,-1.548159
1.090278,1.303403
1.099644,-0.544253
1.111633,0.287778
1.119930,-1.829409
1.130211,-0.993472
1.139673,-3.302065
1.151737,1.944028
1.160105,-0.419253
1.170332,-0.735659
1.179666,0.010435
1.191609,-1.653628
1.199984,-1.684878
1.210360,-1.290347
1.219783,-1.532534
1.231844,-0.688784
1.240221,-0.610659
1.250507,-0.419253
1.259697,-0.391909
1.271559,-0.009097
1.280031,0.248716
1.290226,0.213560
1.299596,0.108091
1.311613,0.096372
1.319938,0.041685
1.330287,0.201841
1.339665,0.260435
1.351687,0.248716
1.359951,0.240903
1.370233,0.096372
1.379576,0.194028
1.391746,0.194028
1.399987,0.248716
1.410273,0.307310
1.419777,0.213560
1.431681,0.307310
1.440005,0.213560
1.450430,0.240903
1.459858,0.346372
1.471830,0.213560
1.480108,0.319028
1.490323,0.233091
1.499660,0.201841
1.511782,0.287778
1.520060,0.194028
1.530256,0.279966
1.539785,0.287778
1.551725,0.248716
1.560426,0.287778
1.571360,0.135435
1.579632,0.162778
1.591497,0.076841
1.599981,0.108091
1.610258,0.213560
1.619703,0.096372
1.631653,0.194028
1.639981,0.057310
1.650327,0.057310
1.659678,0.174497
1.671561,0.029966
1.679991,0.182310
1.690254,0.076841
1.699621,-0.016909
1.711623,0.088560
1.719939,0.010435
